A1YS9MDZP93857,0006428320,The portfolio is fine except for the fact that the last movement of sonata #6 is missing. What should one expect?,John Taylor,3.0,"March 11, 2014"
A3TS466QBAWB9D,0014072149,If you are a serious violin student on a budget this edition has it all: Piano accompaniment low price urtext solo parts and annotations by Maestro David Oistrakh where Bach's penmanship is hard to decipher.  Additions (in dashes) are easily distinguishable from the original bowings.  This is a delightful concerto that all intermediate level violinists should perform with a violin buddy.  Get your copy today along with The Green Violin Theory Ear Training and Musicianship for Violinists book to prepare for this concerto and for more advanced playing!,Silver Pencil,5.0,"June 6, 2013"
A3BUDYITWUSIS7,0041291905,This is and excellent edition and perfectly true to the orchestral version!  It makes playing Vivaldi a joy!  I uses this for a wedding and was totally satisfied with the accuracy!,joyce gabriel cornett,5.0,"October 14, 2013"
A19K10Z0D2NTZK,0041913574,Perfect for someone who is an opera fan or a working musician.Aida:  Aida (sometimes spelled Ada pronounced ah-EE-dah is an Arabic female name meaning visitor or returning) is an opera in four acts by Giuseppe Verdi to an Italian libretto by Antonio Ghislanzoni based on a scenario written by French Egyptologist Auguste Mariette. Aida was first performed at the Khedivial Opera House in Cairo on 24 December 1871 conducted by Giovanni Bottesini.Overview: Aida an Ethiopian princess is captured and brought into slavery in Egypt. A military commander Radames struggles to choose between his love for her and his loyalty to the Pharaoh. To complicate the story further Radames is loved by the Pharaoh's daughter Amneris although he does not return her feelings.,TexasCowboy,5.0,"September 23, 2010"
A14X336IB4JD89,0201891859,How many Nocturnes does it contain? All of them? Some?Unable to determnine contents therefore hard to decide if this is what I need/want.,dfjm53,1.0,"October 17, 2012"
A2HR0IL3TC4CKL,0577088726,this was written for Carin Levine in 2008 but not premiered until 2011 at the Musica Viva Fest in Munich. .the work's premise maybe about the arduousness nefarious of existence how we all Work at life at complexity at densities of differing lifeworlds. Ferneyhough's music might suggest that these multiple dimensions of an ontology exist in diagonals across differing spectrums of human cognition how we come to think about an objectaisthetic shaped ones and expressionistic ones as his music.The work has a nice classical shapeand holds the romantic at bay a mere 7 plus minutes for Alto Flute a neglected wind cadre member.The work has gorgeous arresting moments with a great bounty of extended timbres-pointillistic bursts Klangfarben Sehr Kraeftig that you do grow weary of it is almost predictable now hearing these works you know they will inhabit a dense timbral space of mega-speed lines tossed in all registersstill one listens that gap Freud speaks about that we know we need this at some level. . .the music slowed at times for structural rigour.. .  we have a dramatic causality at play in the subject(the work's title) the arduousness of pushing aspiring working toward something pleasurable illuminating or not How about emancipation from itselfI guess we need forget the production of surplus value hereineven with the rebellions in current urban areas today It has no place. . .  these constructions  are leftovers from modernity the gods still hover. . .gods that Ferneyhough has no power to dispel. . . . All are now commonplace for the new music literature of music.This music still sound quite stunning marvelous and evocative todayit is simple at some level direct unencumbered and violent with spit-tonguesgratuitous lines fluttertonguepercussive slap-keystremoli wistful glissandi harmonics fast filigreed lines and simply threadbare melos an austere fragment of what was a melody. . .Claudio Arrau said someplace that the performer the musician must emanate a work while playing music a struggle aesthetic or otherwise Sviatoslav Richter thought this grotesque to look at a musician playing the great music. It was ugly for him. . .You can hear Ms.Levine on youtube playing her work she is quite convincing you always need to impart an authoritysuccored in an emotive focus that the music itself has not succumbed to your own possession. You play the music it doesn't play you. . . I'd hope though that music with this arduous construction and structural vigour that it would in fact come to possess the performer. . .it is one of the last libidinal pleasures remaining. . .,scarecrow,5.0,"June 14, 2013"
A2DHYD72O52WS5,0634029231,Greg Koch is a knowledgable and charismatic host. He is seriously fun to watch. The main problem with the video is the format. The lack of on-screen tab is a serious flaw. You have to watch very carefully have a good understanding of the minor pentatonic and  basic foundation of blues licks to even have a chance at gleening anything from this video.If you're just starting out pick up the IN THE STYLE OF series. While this series has its limitations (incomplete songs due to copyright no doubt) it has on screen tab and each lick is played at a reasonably slow speed. In addition their web site has downloadable tab.However if you can hold your own in the minor pentatonic give this a try. It is quite a workout and you'll find yourself a better player having taken on the challenge.,Amazon Customer,3.0,"June 24, 2005"
A1MUVHT8BONL5K,0634029347,I bought this DVD and I'm returning it.  The description and editorial review are misleading.  This is NOT a Clapton video.  Certainly some clips from Clapton but generally this is a how to video.  Same applies to Clapton  The Early Years!,Amazon Customer,2.0,"October 15, 2005"
A15GZQZWKG6KZM,0634029347,I was looking for a concert not instructions to play his songs. A total waste of money. It should have said that it was for instruction.,Robert Wright,1.0,"December 21, 2013"
A16WE7UU0QD33D,0634029347,If you are an unabashed EC fan (as I am) you must own thispiece of history!! It takes you from the obscure artist he wasin the early yearsto the Mega-star he is today!! Your EricClapton library won't be complete without it!!,S. R. Mcdonald,5.0,"October 2, 2005"
