B000BOQWGG:ouch!:e._s._o._h.,B000BOQWGG,"I have had plenty of pairs of Doc's but these are not the best for me........... they are not comfy and they tend to be a little tough to break in. As soon as I put them on and took ONE STEP ---- there right across the top of the shoe is a nice big crease......... It does not look nice and I am ""ticked"" about that...........plus I didnt expect the laces to have green and maroon colors mixed into the brown laces...... it looks dorky!Plus I have a manufacturing flaw in them.  Inside the heel the seam isnt quite right and it rubs my skin and hurts like heck! Hopefully the next model I get isnt like thses or they are going back....... Putting up with these for now.......",E. S. O. H.,2,"November 12, 2006"
"B000NHTCMM:not_durable:t._touloumis_""mzlou2""",B000NHTCMM,"Very cute, I always get compliments, but I wear them only every so often and the bottoms are all ripped up - you'd think I wear them everyday!  I'm just upset I paid over $60 for shoes that will BARELY last one season","T. Touloumis ""Mzlou2""",2,"March 14, 2007"
B000EZXS32:cute_shoe_but_not_practical:taheerah_a._mcneil,B000EZXS32,"I purchased these shoes for my upcoming wedding because I have a hard time walking in really high heels. They are extremely cute but the satin ribbon ankle strap doesn't hold my foot firmly in the shoe. When I walked around in them, I could feel them ""flopping"". Also, anytime I raised my foot (to simulate my fiance taking off the garter) there was too much gap between my foot and the shoe. So, just be aware of this if you decide to purchase this shoe. For the price, this is not worth the buy",Taheerah A. Mcneil,2,"February 3, 2007"
B000E44SA0:size_is_not_correctly_labeled:tigger_daddie,B000E44SA0,"I usually wear size 7M. However, This shoe of size 7M is way too small. I have to return it to AMAZON and pay the shipping fee for the return by myself. I will advise anyone who is interested in this shoe to by 1 size larger than the normal size you wear",Tigger Daddie,2,"November 10, 2006"
B0006L52A6:bad_design:l._clerge,B0006L52A6,"Haven't worn it yet to test the quality however, the structure is all wrong. One leg is more narrow than than the other (I could barely fit my leg into it) and the waist is really high",L. Clerge,1,"August 20, 2006"
"B000M8RA08:the_size_is_all_wrong!:a._thompson_""purple_princess""",B000M8RA08,"I loved the bathing suit the first time I laid eyes on it so I purchased it.  I'm actually small but I do have thick thighs so I got a medium.  But when it was delivered and I tried it on, it was too small!  I should have gotten a large.  The medium made me look like I had these big love handles.  So please whatever your size is make sure you get it a size bigger.  But other than that the bathing suit is great.  I'm just going to have to loose the love handles","A. Thompson ""Purple_Princess""",2,"April 11, 2007"
B000FVBWYC:comfy_but_so_so_color_looks_different_in_pic:shiree_rose_trozera,B000FVBWYC,Shoe is comfortable but the description says off white or white with beige.  Which leads you to think the color is mostly white.  The true color is neither!  There is absolutely NO WHITE in these shoes.  I purchased these shoes because I needed some white off/white shoes NOT beige shoes.  No I did not return them it's too much of a hassel to return things so I kept them and I have worn them once but do not like the color at all.  The style is not as cute as her others but they are still a great bargain.  The materials are an excellent quality.  If you like beige and earthtones you will like these shoes,Shiree Rose Trozera,2,"January 18, 2007"
B000LOAOH4:look_closely:c._kaeding,B000LOAOH4,"Look closely at the picture of the ""white"" top.  It actually has red around the top and on the straps.  To those of us who don't want ugly red zig-zag thread.......",C. Kaeding,1,"March 15, 2007"
B000FTECGE:larger_than_i_expected:mistress_rebecca,B000FTECGE,"This shirt was larger than I expected.  I got a 2x because i'm a 12-14, but it was way too big.  Also the pink was a lot brighter than pictured",Mistress Rebecca,2,"January 4, 2007"
"B000JNDWTO:decent_fabric,_horrible_band,_couldn't_notice_the_fit.:w._j._regotti",B000JNDWTO,"The fabric is a little stiff at first, bust softens to a acceptable level after a few washes. The elastic band around the waist of these boxers contracts to the point where it wrinkles up the fabric. After a few hours of wear you have the indents of the crinkled up band on your skin and it feels quite uncomfortable. While cheap and nicely packaged, these things suck. Spend some money on decent underwear",W. J. Regotti,2,"April 11, 2007"
