"B000NHTCMM:not_durable:t._touloumis_""mzlou2""",B000NHTCMM,"Very cute, I always get compliments, but I wear them only every so often and the bottoms are all ripped up - you'd think I wear them everyday!  I'm just upset I paid over $60 for shoes that will BARELY last one season",2
B000EZXS32:cute_shoe_but_not_practical:taheerah_a._mcneil,B000EZXS32,"I purchased these shoes for my upcoming wedding because I have a hard time walking in really high heels. They are extremely cute but the satin ribbon ankle strap doesn't hold my foot firmly in the shoe. When I walked around in them, I could feel them ""flopping"". Also, anytime I raised my foot (to simulate my fiance taking off the garter) there was too much gap between my foot and the shoe. So, just be aware of this if you decide to purchase this shoe. For the price, this is not worth the buy",1
B000E44SA0:size_is_not_correctly_labeled:tigger_daddie,B000E44SA0,"I usually wear size 7M. However, This shoe of size 7M is way too small. I have to return it to AMAZON and pay the shipping fee for the return by myself. I will advise anyone who is interested in this shoe to by 1 size larger than the normal size you wear",-1
B0006L52A6:bad_design:l._clerge,B0006L52A6,"Haven't worn it yet to test the quality however, the structure is all wrong. One leg is more narrow than than the other (I could barely fit my leg into it) and the waist is really high",-3
"B000M8RA08:the_size_is_all_wrong!:a._thompson_""purple_princess""",B000M8RA08,"I loved the bathing suit the first time I laid eyes on it so I purchased it.  I'm actually small but I do have thick thighs so I got a medium.  But when it was delivered and I tried it on, it was too small!  I should have gotten a large.  The medium made me look like I had these big love handles.  So please whatever your size is make sure you get it a size bigger.  But other than that the bathing suit is great.  I'm just going to have to loose the love handles",3
B000FVBWYC:comfy_but_so_so_color_looks_different_in_pic:shiree_rose_trozera,B000FVBWYC,Shoe is comfortable but the description says off white or white with beige.  Which leads you to think the color is mostly white.  The true color is neither!  There is absolutely NO WHITE in these shoes.  I purchased these shoes because I needed some white off/white shoes NOT beige shoes.  No I did not return them it's too much of a hassel to return things so I kept them and I have worn them once but do not like the color at all.  The style is not as cute as her others but they are still a great bargain.  The materials are an excellent quality.  If you like beige and earthtones you will like these shoes,2
"B000JNDWTO:decent_fabric,_horrible_band,_couldn't_notice_the_fit.:w._j._regotti",B000JNDWTO,"The fabric is a little stiff at first, bust softens to a acceptable level after a few washes. The elastic band around the waist of these boxers contracts to the point where it wrinkles up the fabric. After a few hours of wear you have the indents of the crinkled up band on your skin and it feels quite uncomfortable. While cheap and nicely packaged, these things suck. Spend some money on decent underwear",0
B000FKB11C:beware_of_sizes:b._j._swanson,B000FKB11C,"The sizes listed do not print on the invoice.  Instead, Army Navy uses 'codes.'  When they send the wrong sizes, then they blame you for not selecting the right size and want a 15% restocking fee plus return shipping",-2
"B000IRHH8S:waste_of_money:j._parker_""satisfied_in_every_way""",B000IRHH8S,"The shoes weren't the color that I wanted them to be. To me, there cheap and are over priced! The quality is not good. They can easily be scuffed. Am definitely returning them!!",0
B000IRHH8S:a_bit_disappointed...:superflylinz,B000IRHH8S,"...the shoes weren't quite what I thought they would be, although for 40 bucks I probably shouldn't have been expecting the highest quality pump. They looked a bit cheap, and on top of it all, they were too small for me. There was no return slip in the package, no number to call, no way to send the shoes back to make a return, so now I'm stuck with 40 dollar cheap looking shoes that no one but my little neices can fit into--and they're a bit too young to be dressing like ladies of the evening. My fault for buying shoes at a place called ""Hollywood Heelz,"" I should have known better.I will say this though, I like the thin heel and the shoes came in a timely fashion. If I could fit them, I'd give them a 2-2 1/2 for that alone",-3
